csd_id,smiles1,smiles2
HMPASN,CN(C)P(=O)(N(C)C)N(C)C,N1SSSSSSS1
HMTHQU,C1N2CN3CN1CN(C2)C3,Oc1ccc(O)cc1
HODMLN,N#CCC#N,C1COCCOCCOCCOCCOCCO1
ITYAEA10,OC(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,OCCNCCO
NPQHRQ,O=C1C=CC(=O)c2ccccc12,Oc1ccc(O)cc1
PENPYM,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,c1ccc2c(c1)ccc1ccccc21
PMEANT,c1ccc2cc3ccccc3cc2c1,CN1C(=O)c2cc3C(=O)N(C)C(=O)c3cc2C1=O
SACCAF,CC(=O)NS(=O)(=O)c1ccc(N)cc1,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
SANAPY,Nc1ccc(cc1)S(N)(=O)=O,CN1N(C(=O)C=C1C)c1ccccc1
SEOTCR,CC1=C(C)[Se]C([Se]1)=C1[Se]C(=C(C)[Se]1)C,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
TCQPAN10,c1cnc2c(c1)ccc1cccnc21,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
THOPBA,CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,CN1C(=O)N(C)C2=C(NC=N2)C1=O
TITACE10,OC(=O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1,OCCNCCO
ADOSBU,Nc1ncnc2N(C=Nc12)C1OC(CO)C(O)C1O,BrC1=CNC(=O)NC1=O
ASKNBZ,CC(=O)N1C=C(C)c2ccccc12,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
BPHIPH,O=C(N(N=C1C(=O)c2ccccc2C1=O)c1ccccc1)c1ccccc1,O=C1c2ccccc2C(=O)C1=NNc1ccccc1
CAZTBZ01,C1=CC2=CC=C3C=CC(=C1)N23,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
ETCZCE,CCN1c2ccccc2c2ccccc12,N#CC(C#N)=C(C#N)C#N
HBIPSH,C1CCN(CC1)C1=CC2=NC3(CCCCC3)N=C2C=C1N1CCCCC1,C1CCC2(CC1)Nc1ccccc1N2
HMTFCQ,C1CC2=C(C1)SC(S2)=C1SC2=C(CCC2)S1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
HMTMCR,C1N2CN3CN1CN(C2)C3,Cc1cccc(O)c1
IACNCA,NC(=O)c1cccnc1,OC(=O)CC1=CNc2ccccc12
IMMXPS,CC1(C)OP(O)(=S)OC1(C)C,N1C=CN=C1
MTBPNP,CSc1nc(NC(=O)c2ccccc2)c2NC=Nc2n1,Oc1ccc(cc1)N(=O)=O
MYFLTC,C1CC2=C(C1)SC(S2)=C1SC=CS1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
NPQNHQ,Oc1ccc(O)c2ccccc12,O=C1C=CC(=O)c2ccccc12
PANCYQ,c1ccc2c(c1)ccc1ccccc21,ClC1=C(Cl)C(=O)C(=C(C#N)C1=O)C#N
STINBZ,c1ccc(cc1)C=Cc1ccccc1,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
TOPPNP,Oc1ccc(cc1)N(=O)=O,CN1C(=O)N(C)C2=C(N=CN2)C1=O
ZPHCYQ,c1ccc2c(c1)nnc1ccccc21,ClC1=C(Cl)C(=O)C(=C(C#N)C1=O)C#N
BARMIM,CCC1(CC)C(=O)NC(=O)NC1=O,CN1C=CN=C1
BPPFBP,Fc1c(F)c(F)c(c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,c1ccc(cc1)c1ccccc1
CEZOMN,N#CCC#N,N#CCCN1CCOCCOCCN(CCOCCOCC1)CCC#N
MPAHFB,CN(C)c1ccc(cc1)N(C)C,Fc1c(F)c(F)c(F)c(F)c1F
MPPZPO,Oc1ccccc1,CN1c2ccccc2P(=O)(c2ccccc2)c2ccccc12
MTZICA,CN(C)N=NC1=C(N=CN1)C(N)=O,CN(C)N=NC1=C(NC=N1)C(N)=O
MUROXA,OC(=O)C(O)=O,CNC(N)=O
NAPYMA,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,c1ccc2ccccc2c1
PCLPMS,CS(O)(=O)=O,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1
PERPBQ,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,ClC1=C(Br)C(=O)C(=C(Br)C1=O)Cl
PTSTCQ,S=C1SC(=C[Se]1)c1ccccc1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
RSHMTA,C1N2CN3CN1CN(C2)C3,Oc1cccc(O)c1
TTFCAN,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,S1C=CSC1=C1SC=CS1
TTFFAN,FC1=C(F)C(=O)C(=C(F)C1=O)F,S1C=CSC1=C1SC=CS1
UREATE,NC(N)=O,O[Te](O)(O)(O)(O)O
UROXAM,NC(N)=O,OC(=O)C(O)=O
ANPHXN,c1ccc2cc3ccccc3cc2c1,ClC1=CC(C=C(Cl)C1=O)=C1C=C(Cl)C(=O)C(=C1)Cl
BZQTCQ10,c1ccc2c(c1)ccc1cccnc21,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
DPHPZL,CN(C)C1=C(C)N(C)N(c2ccc(Br)cc2)C1=O,O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1
EDCDMP10,Oc1cc(Cl)cc(Cl)c1,Cc1cccc(C)c1O
OMTFNQ,COC1=CC(C(=CC1=C(C#N)C#N)OC)=C(C#N)C#N,C1CCC2=[S]C([S]=C2C1)=C1[S]=C2CCCCC2=[S]1
PDTOMS,C1CCC(NC1)C12CC(C=C3CCCNC13)C1CCCCN1C2,C1CCC(NC1)C12CC(CC3CCCNC13)C1CCCCN1C2
PYRFLR,FC1=C(F)C(=O)C(=C(F)C1=O)F,c1cc2ccc3cccc4ccc(c1)c2c34
PYTQIM,Cc1ccc(cc1)S(=O)(=O)N=C1C=C(Cl)C(=O)C(=C1)Cl,c1cc2ccc3cccc4ccc(c1)c2c34
PZTCNQ,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,CN1c2ccccc2N(C)c2ccccc12
QUETHU,NC(N)=S,C(COCCOc1cccc2cccnc12)OCCOCCOc1cccc2cccnc12
SKATCE10,CC1=CNc2ccccc12,N#CC(C#N)=C(C#N)C#N
SMZTMP,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CC1=CC(=NO1)NS(=O)(=O)c1ccc(N)cc1
THLCTC,c1cc2c(ccc3sc4ccc5sccc5c4c23)s1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
URMALN,NC(N)=O,OC(=O)CC(O)=O
URPRBN01,NC(N)=O,O=C1NC(=O)C(=O)N1
BAHFEV,S1c2ccccc2c2ccccc12,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
BALVAL,OP(O)(O)=O,NCCO
BAZCUA,BrC1=CC(C=C(Br)C1=O)=C1C=C(Br)C(=O)C(=C1)Br,c1cc2ccc3cccc4ccc(c1)c2c34
BAZDAH,ClC1=CC(C=C(Cl)C1=O)=C1C=C(Cl)C(=O)C(=C1)Cl,c1cc2ccc3cccc4ccc(c1)c2c34
MEASPO,CN(C)P(=O)(N(C)C)N(C)C,C[As](=S)(c1ccccc1)c1ccccc1
NPHSBT,OC(=O)C(OC(=O)c1ccccc1)C(OC(=O)c1ccccc1)C(O)=O,O=P(C1C2CC(C=C2)C1P(=O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
TMFBRQ10,CC1=[S]C([S]=C1C)=C1[S]=C(C)C(=[S]1)C,BrC1=C(Br)C(=O)C(=C(Br)C1=O)Br
TPOXLC,OC(=O)C(O)=O,O=P(c1ccccc1)(c1ccccc1)c1ccccc1
BALNAD10,S1C(Sc2ccccc12)=C1Sc2ccccc2S1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
BECNUS02,c1ccc2nc3ccccc3nc2c1,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12
BEFGIC,CCOC1=C(OCC)C(=O)C(C1=O)=C(C#N)C#N,c1cc2ccc3cccc4ccc(c1)c2c34
BESPEU,C1CCC2=C(C1)SC(S2)=C1SC2=C(CCCC2)S1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
BIFYOE,O=C1CNC(=S)N1,CN1C=Nc2c(N)ncnc12
