csd_id,name,smiles1,smiles2,year,functionality,group
BIZMAZ,"bis(isonicotinohydrazide) 2,2'-dithiodibenzoic acid",C1=CC=C(C(=C1)C(=O)O)SSC2=CC=CC=C2C(=O)O,C1=CN=CC=C1C(=O)NN,2008,h-bond,2
BOGRIZ,bis(2-Hydroxy-4-methyl-N-propanoylbenzohydrazide) 2-hydroxy-N-(2-hydroxy-4-methylbenzoyl)-6-methylbenzohydrazide,CC1=CC(=C(C=C1)C(=O)NNC(=O)C2=C(C=C(C=C2)C)O)O,CCC(=O)NNC(=O)C1=C(C=C(C=C1)C)O,2008,h-bond,2
CIRWEG,"Pyromellitic acid 1,4-dihydroxybenzene",C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,C1=CC(=CC=C1O)O,2008,h-bond,2
CIRXAD,"4-Amino-1,2,4-triazole succinic acid",C(CC(=O)O)C(=O)O,C1=NN=CN1N,2008,h-bond,2
CIRXIL,"bis(4-Amino-1,2,4-triazole) adipic acid",C(CCC(=O)O)CC(=O)O,C1=NN=CN1N,2008,h-bond,2
CIZTAH,theophylline DL-malic acid,CN1C2=C(C(=O)N(C1=O)C)NC=N2,C([C@@H](C(=O)O)O)C(=O)O,2008,h-bond,2
COHYUU,"(N,N'-bis(4-Cyanobutyl)oxalamide) bis(1,4-di-iodobut-1,3-diyne)",C(#CI)C#CI,C(CCNC(=O)C(=O)NCCCCC#N)CC#N,2008,halogen_bond,3
COKNOG,"trans-4,4'-azobipyridine 1,1,2,2,3,3,4,4,5,5,6,6-dodecafluoro-1,6-diiodohexane",C(C(C(C(F)(F)I)(F)F)(F)F)(C(C(F)(F)I)(F)F)(F)F,C1=CN=CC=C1N=NC2=CC=NC=C2,2008,h-bond,2
COLGUG,"bis(3,6-dihydroxyflavone) 1,4-diazabicyclo[2.2.2]octane",C1=CC=C(C=C1)C2=C(C(=O)C3=C(O2)C=CC(=C3)O)O,C1CN2CCN1CC2,2008,h-bond,2
COLHIV,"bis(3,3',4',5,7-pentahydroxyflavone) tris(1,4-diazabicyclo[2.2.2]octane)",C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1CN2CCN1CC2,2008,h-bond,2
CONLIB,"(2)-(4-(((3-((4-(Methoxycarbonyl)benzyl)oxy)-2,2-dimethylpropyl)-(trifluoroacetyl)amino)methyl)benzyl 3,5-dimethylbenzoate) (dibenzo-24-crown-8)-rotaxane",CC1=CC(=CC(=C1)C(=O)OCC2=CC=C(C=C2)CN(CC(C)(C)COCC3=CC=C(C=C3)C(=O)OC)C(=O)C(F)(F)F)C,C1COCCOC2=CC=CC=C2OCCOCCOCCOC3=CC=CC=C3OCCO1,2008,h-bond,2
DIRXOS,bis(Triphenylsilyl) ether 18-crown-6,C1=CC=C(C=C1)[Si](C2=CC=CC=C2)(C3=CC=CC=C3)O[Si](C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6,C1COCCOCCOCCOCCOCCO1,2008,h-bond,2
DITHOE,"Pentachlorophenol 3,5-lutidine",C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,CC1=CC(=CN=C1)C,2008,h-bond,2
DITHUK,"Pentachlorophenol 3,4-lutidine",C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,CC1=C(C=NC=C1)C,2008,h-bond,2
DITJAS,"Pentachlorophenol 2,3-lutidine",C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,CC1=C(N=CC=C1)C,2008,h-bond,2
DITJEW,"Pentachlorophenol 2,6-lutidine",C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,CC1=NC(=CC=C1)C,2008,h-bond,2
DIVCUH,"Tetrafluoro-1,4-diiodobenzene piperazine",C1(=C(C(=C(C(=C1I)F)F)I)F)F,C1CNCCN1,2008,halogen_bond,3
DIVDOC,"1,4-Dibromotetrafluorobenzene piperazine",C1(=C(C(=C(C(=C1Br)F)F)Br)F)F,C1CNCCN1,2008,halogen_bond,3
DIVDUI,"1,4-Diazabicyclo(2.2.2)octane 1,4-dibromotetrafluorobenzene",C1(=C(C(=C(C(=C1Br)F)F)Br)F)F,C1CN2CCN1CC2,2008,halogen_bond,3
DIWGOG,"Adamantane-1,3-dicarboxylic acid 4,4'-bipyridine",C1C2CC3(CC1CC(C2)(C3)C(=O)O)C(=O)O,C1=CN=CC=C1C2=CC=NC=C2,2008,h-bond,2
DOKGEQ,"4,4'-Bipyridine dithio-oxamide",C1=CN=CC=C1C2=CC=NC=C2,C(=S)(C(=S)N)N,2008,h-bond,2
DOKGIU,"1,2-bis(4-Pyridyl)ethane dithio-oxamide",C1=CN=CC=C1CCC2=CC=NC=C2,C(=S)(C(=S)N)N,2008,h-bond,2
DOKGOA,"2,7-Diazapyrene dithio-oxamide",C1=CC2=CN=CC3=C2C4=C(C=C3)C=NC=C41,C(=S)(C(=S)N)N,2008,h-bond,2
DOKGUG,"1,4-Diazabicyclo(2.2.2)octane dithio-oxamide",C(=S)(C(=S)N)N,C1CN2CCN1CC2,2008,h-bond,2
DOKHAN,"1,3,5,7-Tetra-azatricyclo(3.3.1.13,7)decane dithio-oxamide",C1N2CN3CN1CN(C2)C3,C(=S)(C(=S)N)N,2008,h-bond,2
